protocol,seed,family,in_train,in_test,scored,recall,precision,support
capture-aware (file-proportion),1,DOS,True,True,True,0.9659484417083494,0.880413817289146,25990
capture-aware (file-proportion),1,Mirai,True,True,True,0.24173553719008264,0.2903225806451613,484
capture-aware (file-proportion),1,Recon,True,False,False,,,0
capture-aware (file-proportion),1,Spoofing,True,True,True,0.012759170653907496,0.7741935483870968,1881
capture-aware (file-proportion),1,Web-Based,True,True,True,0.3739495798319328,0.2018140589569161,238
capture-aware (size-matched),1,Benign,True,True,True,0.15095338983050846,0.8715596330275229,1888
capture-aware (size-matched),1,Brute Force,True,False,False,,,0
capture-aware (size-matched),1,DDOS,True,True,True,0.8975552968568102,0.5159261241970021,4295
capture-aware (size-matched),1,DOS,True,True,True,0.8493216211515046,0.9859162039374053,22996
capture-aware (size-matched),1,Mirai,True,True,True,0.2677595628415301,0.14454277286135694,183
capture-aware (size-matched),1,Recon,True,False,False,,,0
capture-aware (size-matched),1,Spoofing,True,True,True,0.2857142857142857,0.08651399491094147,119
capture-aware (size-matched),1,Web-Based,True,False,False,,,0
capture-aware (file-proportion),99,Benign,True,False,False,,,0
capture-aware (file-proportion),99,Brute Force,True,False,False,,,0
capture-aware (file-proportion),99,DDOS,True,True,True,0.6160217983651226,0.626468632232321,9175
capture-aware (file-proportion),99,DOS,True,True,True,0.8683188259837422,0.8828627852545348,27802
capture-aware (file-proportion),99,Mirai,True,True,True,0.2514450867052023,0.30526315789473685,346
capture-aware (file-proportion),99,Recon,True,False,False,,,0
capture-aware (file-proportion),99,Spoofing,True,True,True,0.2773109243697479,0.22916666666666666,119
capture-aware (file-proportion),99,Web-Based,True,False,False,,,0
capture-aware (size-matched),99,Benign,True,True,True,0.3224092116917626,0.24611223799864773,1129
capture-aware (size-matched),99,Brute Force,True,False,False,,,0
capture-aware (size-matched),99,DDOS,True,True,True,0.8923559517913159,0.756578947368421,6057
capture-aware (size-matched),99,DOS,True,True,True,0.9690557632646567,0.8159957130417309,12571
capture-aware (size-matched),99,Mirai,True,True,True,0.26169265033407574,0.36490683229813664,898
capture-aware (size-matched),99,Recon,False,True,False,,,2717
capture-aware (size-matched),99,Spoofing,True,True,True,0.14180672268907563,0.2738336713995943,952
capture-aware (size-matched),99,Web-Based,True,True,True,0.07621082621082621,0.39776951672862454,1404
capture-aware (file-proportion),555,Benign,True,True,True,0.18106508875739644,0.8947368421052632,1690
capture-aware (file-proportion),555,Brute Force,True,False,False,,,0
capture-aware (file-proportion),555,DDOS,True,True,True,0.928702731092437,0.9328673173305196,7616
capture-aware (file-proportion),555,DOS,True,True,True,0.986892177589852,0.9724189650862428,11825
capture-aware (file-proportion),555,Mirai,True,True,True,0.30327868852459017,0.22492401215805471,244
capture-aware (file-proportion),555,Recon,True,False,False,,,0
capture-aware (file-proportion),555,Spoofing,True,False,False,,,0
capture-aware (file-proportion),555,Web-Based,True,False,False,,,0
capture-aware (size-matched),555,Benign,True,True,True,0.502092050209205,0.14002333722287047,239
capture-aware (size-matched),555,Brute Force,True,False,False,,,0
capture-aware (size-matched),555,DDOS,True,True,True,0.8930115273775217,0.8282659538924156,2776
capture-aware (size-matched),555,DOS,True,True,True,0.989010989010989,0.9534384214933197,26481
capture-aware (size-matched),555,Mirai,True,True,True,0.24858757062146894,0.17886178861788618,177
capture-aware (size-matched),555,Recon,False,True,False,,,2717
capture-aware (size-matched),555,Spoofing,True,False,False,,,0
capture-aware (size-matched),555,Web-Based,True,False,False,,,0
capture-aware (file-proportion),8,Benign,True,True,True,0.1551906779661017,0.8567251461988304,1888
capture-aware (file-proportion),8,Brute Force,True,False,False,,,0
capture-aware (file-proportion),8,DDOS,True,True,True,0.505813097866078,0.8309961315280464,6795
capture-aware (file-proportion),8,DOS,True,True,True,0.9413957341064403,0.5709620698317006,4829
capture-aware (file-proportion),8,Mirai,True,True,True,0.2505050505050505,0.3974358974358974,495
capture-aware (file-proportion),8,Recon,True,False,False,,,0
capture-aware (file-proportion),8,Spoofing,True,False,False,,,0
