task,protocol,n_seeds,test_frac_min,test_frac_max,scored_families_min,scored_families_max,accuracy_mean,accuracy_sd,accuracy_ci_lo,accuracy_ci_hi,f1_scored_mean,f1_scored_sd,f1_scored_ci_lo,f1_scored_ci_hi
binary,capture-aware (file-proportion),20,0.0799,0.4028,1,2,0.9549624162472469,0.030863372963867392,0.9403003596213324,0.9667107960943375,0.8284961531447422,0.1452333635379012,0.7678825074232675,0.8889423659653728
binary,capture-aware (size-matched),20,0.2003,0.2849,1,2,0.9653179550875132,0.021813217837853918,0.9557284252647923,0.9742379992430318,0.8336358456785371,0.18050895007917436,0.7556359087180157,0.9094885552874106
binary,random record,20,0.2,0.2,2,2,0.962643016049579,0.0018219772087199543,0.9618544414428731,0.9634316403146355,0.7008836806672892,0.007470382225185986,0.6975827643951605,0.7040210289618009
multiclass,capture-aware (file-proportion),20,0.0799,0.4028,3,6,0.8000666593616017,0.11166619957490487,0.7500323050049588,0.8448829462411367,0.49144871602696405,0.0967885197002231,0.4506588260073561,0.5328830693406966
multiclass,capture-aware (size-matched),20,0.2003,0.2849,3,6,0.8387470124579313,0.08415735028565005,0.8021222444453195,0.8733173752567028,0.497661022912648,0.0851854572633743,0.4623072726634265,0.5345808718445846
multiclass,random record,20,0.2,0.2,8,8,0.9154020340060385,0.0014487701994420118,0.9147643711266485,0.9159979342126171,0.6174111651472737,0.007983659925207007,0.6138374146032809,0.620640756876337
