quantity,mean,sd,ci_lo,ci_hi,n_seeds
A_full,0.6178392047290703,0.008684083119260853,0.6131785349735455,0.6218107134947658,15
B_balanced,0.611960568407325,0.00621332775778326,0.6086783165073713,0.6147405217800688,15
C_size_control,0.5494876692261813,0.005164781160837535,0.5470535337566633,0.5520602763467302,15
B_minus_C,0.06247289918114371,0.008219586186080884,0.05817762052086049,0.06615725012239035,15
A_minus_B,0.005878636321745131,0.004623593185541485,0.003538225971101705,0.008101700661686308,15
