task,protocol,sd_random,sd_protocol,ratio_point,ratio_boot_median,ratio_ci_lo,ratio_ci_hi
binary,capture-aware (file-proportion),0.0018219772087199543,0.030863372963867392,16.93949453163068,16.732760010706787,7.542685515503063,30.662738127115848
binary,capture-aware (size-matched),0.0018219772087199543,0.021813217837853918,11.972278101754622,12.115008448206412,7.564993937790599,19.978165539514112
multiclass,capture-aware (file-proportion),0.0014487701994420118,0.11166619957490487,77.07654369058162,77.34742690182476,44.927885009640924,125.90904595964632
multiclass,capture-aware (size-matched),0.0014487701994420118,0.08415735028565005,58.08881927448737,58.189262740811905,35.89355342360728,93.50054074158277
