arm,train_n,accuracy,f1_macro,f1_weighted
A_full,100686,0.9129588431590656,0.6043529343456053,0.9117553086177014
B_balanced,20126,0.8991736850468774,0.6038407296083186,0.9086909844651875
C_size_control,20126,0.9012791991101223,0.5487909200026733,0.899421362290006
