task,variant,n_features,accuracy,f1_macro,f1_weighted,benign_recall,attack_recall,roc_auc
binary,with_ports,72,0.9800969331002701,0.686824480043472,0.9780863210201155,0.3183673469387755,0.9932339356616158,0.9672537534582749
binary,no_ports,70,0.9785078658827269,0.6774182988212738,0.9769354996251997,0.3183673469387755,0.9916133214488291,0.9458808699721684
multiclass,with_ports,72,0.9129588431590656,0.6043529343456053,0.9117553086177014,,,
multiclass,no_ports,70,0.9036230732559988,0.5854323684125682,0.9027411574594258,,,
