protocol,acc_mean,acc_std,all8_mean,all8_std,scored_mean,scored_std
capture-aware,0.7494060471793785,0.12810998800649998,0.27694618731502746,0.03882714546988108,0.460609177878789,0.099627073794538
random,0.9143890036548546,0.001899209568854528,0.6109603433176286,0.01050653169884259,0.6109603433176286,0.01050653169884259
