,Benign,Brute Force,DDOS,DOS,Mirai,Recon,Spoofing,Web-Based
Benign,238,26,65,23,21,49,38,30
Brute Force,16,302,12,5,5,11,24,25
DDOS,65,30,3771,190,109,40,42,29
DOS,45,15,174,17858,38,86,20,27
Mirai,26,18,114,56,142,9,21,14
Recon,57,27,29,56,15,288,26,45
Spoofing,49,43,31,31,13,23,178,32
Web-Based,36,40,26,26,1,31,28,212
