,Benign,Brute Force,DDOS,DOS,Mirai,Recon,Spoofing,Web-Based
Benign,279,27,22,2,30,59,39,32
Brute Force,18,311,3,0,9,8,29,22
DDOS,110,39,3639,32,266,80,71,39
DOS,86,21,275,17449,140,181,61,50
Mirai,32,26,42,6,236,13,29,16
Recon,67,28,15,2,21,341,28,41
Spoofing,52,50,13,3,22,27,196,37
Web-Based,42,45,9,3,6,39,33,223
