task,protocol,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_eval_mean,f1_eval_std,test_rows_mean
binary,capture-aware split,0.9401475954815925,0.04934120896946239,0.5620934667123765,0.09918361249472953,0.8567375086772314,0.17300174438188418,23295.2
binary,random record split,0.9621166375337676,0.002703399874112122,0.6988796584667302,0.011185140284537515,0.6988796584667302,0.011185140284537515,25172.0
multiclass,capture-aware split,0.7494060471793785,0.12810998800649998,0.27694618731502746,0.03882714546988108,0.460609177878789,0.099627073794538,23295.2
multiclass,random record split,0.9143890036548546,0.001899209568854528,0.6109603433176286,0.01050653169884259,0.6109603433176286,0.01050653169884259,25172.0
