task,variant,n_features,accuracy,f1_macro,f1_weighted,benign_recall,attack_recall,roc_auc
binary,with_ports,72,0.961465119974575,0.6992687713581293,0.9691400301110672,0.7122448979591837,0.9664127704399967,0.9726538301893968
binary,no_ports,70,0.9649610678531702,0.7034812634575117,0.9710893279274232,0.6653061224489796,0.9709099748804797,0.9706889181407917
multiclass,with_ports,72,0.9132766566025743,0.6120049366775601,0.9133975838306525,,,
multiclass,no_ports,70,0.903980613379946,0.5863145503089036,0.9038595068588674,,,
