arm,train_n,accuracy,f1_macro,f1_weighted
A_full,100686,0.9132766566025743,0.6120049366775601,0.9133975838306525
B_balanced,20126,0.9007627522644208,0.6114639734252646,0.9100801916368381
C_size_control,20126,0.9014381058318767,0.5487578042330866,0.8996385803596272
